id,datum,nove_pripady,nove_reinfekce,pripady_neockovani_neprodelali,pripady_neockovani_prodelali,pripady_ockovani_neprodelali,pripady_ockovani_prodelali,hospitalizace_bez_reinfekce,hospitalizace_vcetne_reinfekce,hospitalizace_pouze_reinfekce,nove_hospitalizace,nove_hospitalizace_komplet,hospitalizace_neockovani_neprodelali,hospitalizace_neockovani_prodelali,hospitalizace_ockovani_neprodelali,hospitalizace_ockovani_prodelali,jip_bez_reinfekce,jip_vcetne_reinfekce,jip_pouze_reinfekce,nove_jip,nove_jip_komplet,jip_neockovani_neprodelali,jip_neockovani_prodelali,jip_ockovani_neprodelali,jip_ockovani_prodelali
1a8ab221-9a0e-4c47-9a39-1c1ad3181abb,2020-06-02,65,,65,,,,75,75,,5,5,75,,,,9,9,,,,9,,,
fc5d7e18-cc59-403c-9239-33726b5d86c0,2020-06-03,74,,74,,,,65,65,,,1,65,,,,8,8,,,,8,,,
67bc5f5d-bdb0-4eb0-8fe2-c1b4508323d1,2020-06-04,64,,64,,,,60,60,,4,4,60,,,,8,8,,1,1,8,,,
193df2a2-b341-4c6a-93b5-19d576dd476c,2020-06-05,35,,35,,,,60,60,,9,9,60,,,,6,6,,1,,6,,,
e96d6f45-dff4-4179-a4ef-a91aa3591183,2020-06-06,38,,38,,,,59,59,,4,4,59,,,,8,8,,2,1,8,,,
06f6b364-91a1-4d47-a116-73cf6d03d85d,2020-06-07,61,,61,,,,61,61,,4,4,61,,,,9,9,,2,1,9,,,
7b40869b-f1e4-49be-8897-f70d858e5479,2020-06-08,69,,69,,,,60,60,,1,3,60,,,,9,9,,1,,9,,,
3491b5e0-0092-4c64-90c4-1ed72e6e4fe9,2020-06-09,55,,55,,,,63,63,,4,5,63,,,,11,11,,1,1,11,,,
1909db7d-4236-4a6f-985c-c6ffbe62bea8,2020-06-10,74,,74,,,,66,66,,6,7,66,,,,12,12,,2,1,12,,,
a017ee03-fc61-4f93-8d36-898c53efea4a,2020-06-11,65,,65,,,,65,65,,4,4,65,,,,10,10,,1,1,10,,,
98016b55-c992-4599-8d1a-c3eb07da4cd6,2020-06-12,52,,52,,,,69,69,,6,6,69,,,,11,11,,1,,11,,,
5a1b2e03-8d74-4478-96c8-d1397e516183,2020-06-13,53,,53,,,,67,67,,4,4,67,,,,10,10,,,,10,,,
