datum,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,kumulativni_pocet_testu,kumulativni_pocet_ag_testu,prirustkovy_pocet_nakazenych,prirustkovy_pocet_vylecenych,prirustkovy_pocet_umrti,prirustkovy_pocet_provedenych_testu,prirustkovy_pocet_provedenych_ag_testu,kumulativni_pocet_nove_nakazenych_primoinfekce,kumulativni_pocet_nove_nakazenych_reinfekce,prirustkovy_pocet_nove_nakazenych_primoinfekce,prirustkovy_pocet_nove_nakazenych_reinfekce
2024-01-15,4753987,4704980,43467,22203726,34988095,532,693,5,714,5471,4302951,451036,315,217
2024-01-16,4754299,4705077,43469,22204258,34991694,312,97,2,532,3599,4303132,451167,181,131
2024-01-17,4754589,4705151,43475,22204732,34995057,290,74,6,474,3363,4303308,451281,176,114
2024-01-18,4754819,4705833,43478,22205194,34998137,230,682,3,462,3080,4303441,451378,133,97
2024-01-19,4755026,4706294,43482,22205655,35001183,207,461,4,461,3046,4303564,451462,123,84
2024-01-20,4755041,4706672,43482,22205798,35001438,15,378,0,143,255,4303575,451466,11,4
2024-01-21,4755064,4706999,43482,22205902,35001773,23,327,0,104,335,4303589,451475,14,9
2024-01-22,4755414,4707304,43484,22206650,35008060,350,305,2,748,6287,4303771,451643,182,168
2024-01-23,4755662,4707387,43485,22207225,35012429,248,83,1,575,4369,4303917,451745,146,102
2024-01-24,4755879,4707465,43486,22207783,35016449,217,78,1,558,4020,4304030,451849,113,104
2024-01-25,4756056,4707954,43487,22208335,35020313,177,489,1,552,3864,4304132,451924,102,75
2024-01-26,4756238,4708296,43487,22208906,35024118,182,342,0,571,3805,4304240,451998,108,74
2024-01-27,4756258,4708622,43488,22209070,35024417,20,326,1,164,299,4304254,452004,14,6
2024-01-28,4756282,4708886,43490,22209229,35024761,24,264,2,159,344,4304272,452010,18,6
2024-01-29,4756550,4709151,43491,22210134,35031749,268,265,1,905,6988,4304405,452145,133,135
2024-01-30,4756698,4709229,43492,22210793,35036353,148,78,1,659,4604,4304494,452204,89,59
2024-01-31,4756854,4709281,43492,22211423,35040478,156,52,0,630,4125,4304574,452280,80,76
2024-02-01,4756988,4709626,43494,22212000,35044394,134,345,2,577,3916,4304660,452328,86,48
2024-02-02,4757113,4709952,43495,22212669,35047889,125,326,1,669,3495,4304732,452381,72,53
2024-02-03,4757130,4710219,43498,22212899,35048211,17,267,3,230,322,4304745,452385,13,4
2024-02-04,4757148,4710455,43500,22213043,35048507,18,236,2,144,296,4304756,452392,11,7
2024-02-05,4757377,4710695,43503,22213977,35055265,229,240,3,934,6758,4304878,452499,122,107
2024-02-06,4757510,4710802,43503,22214724,35059488,133,107,0,747,4223,4304962,452548,84,49
2024-02-07,4757606,4710868,43504,22215361,35062981,96,66,1,637,3493,4305011,452595,49,47
2024-02-08,4757689,4711142,43505,22215997,35066063,83,274,1,636,3082,4305056,452633,45,38
2024-02-09,4757766,4711425,43505,22216625,35069039,77,283,0,628,2976,4305104,452662,48,29
2024-02-10,4757775,4711688,43505,22216812,35069277,9,263,0,187,238,4305109,452666,5,4
2024-02-11,4757786,4711917,43505,22216908,35069551,11,229,0,96,274,4305117,452669,8,3
2024-02-12,4757918,4712149,43506,22217755,35074656,132,232,1,847,5105,4305196,452722,79,53
2024-02-13,4758010,4712255,43506,22218337,35077907,92,106,0,582,3251,4305243,452767,47,45
2024-02-14,4758081,4712317,43507,22218807,35080544,71,62,1,470,2637,4305279,452802,36,35
2024-02-15,4758143,4712574,43507,22219250,35082930,62,257,0,443,2386,4305313,452830,34,28
2024-02-16,4758205,4712828,43507,22219717,35085151,62,254,0,467,2221,4305353,452852,40,22
2024-02-17,4758209,4712983,43509,22219841,35085315,4,155,2,124,164,4305357,452852,4,0
2024-02-18,4758214,4713125,43510,22219936,35085499,5,142,1,95,184,4305359,452855,2,3
2024-02-19,4758290,4713256,43511,22220578,35089192,76,131,1,642,3693,4305403,452887,44,32
2024-02-20,4758338,4713347,43511,22221043,35091646,48,91,0,465,2454,4305433,452905,30,18
2024-02-21,4758378,4713403,43511,22221495,35093744,40,56,0,452,2098,4305461,452917,28,12
2024-02-22,4758425,4713533,43511,22221911,35095638,47,130,0,416,1894,4305487,452938,26,21
2024-02-23,4758456,4713661,43511,22222319,35097407,31,128,0,408,1769,4305509,452947,22,9
2024-02-24,4758462,4713760,43511,22222402,35097548,6,99,0,83,141,4305513,452949,4,2
2024-02-25,4758466,4713881,43512,22222468,35097694,4,121,1,66,146,4305516,452950,3,1
2024-02-26,4758521,4713971,43513,22223083,35100742,55,90,1,615,3048,4305549,452972,33,22
2024-02-27,4758554,4714037,43514,22223502,35102798,33,66,1,419,2056,4305566,452988,17,16
2024-02-28,4758589,4714067,43515,22223890,35104707,35,30,1,388,1909,4305583,453006,17,18
2024-02-29,4758613,4714150,43515,22224228,35106326,24,83,0,338,1619,4305597,453016,14,10
2024-03-01,4758635,4714207,43515,22224564,35107953,22,57,0,336,1627,4305610,453025,13,9
2024-03-02,4758640,4714318,43515,22224637,35108076,5,111,0,73,123,4305614,453026,4,1
2024-03-03,4758642,4714392,43515,22224715,35108210,2,74,0,78,134,4305615,453027,1,1
2024-03-04,4758690,4714448,43517,22225255,35110908,48,56,2,540,2698,4305639,453051,24,24
2024-03-05,4758723,4714494,43517,22225597,35112740,33,46,0,342,1832,4305656,453067,17,16
2024-03-06,4758744,4714512,43518,22225944,35114290,21,18,1,347,1550,4305668,453076,12,9
2024-03-07,4758767,4714569,43518,22226245,35115759,23,57,0,301,1469,4305680,453087,12,11
2024-03-08,4758799,4714633,43519,22226591,35117157,32,64,1,346,1398,4305702,453097,22,10
2024-03-09,4758804,4714684,43519,22226657,35117254,5,51,0,66,97,4305706,453098,4,1
2024-03-10,4758810,4714727,43519,22226739,35117394,6,43,0,82,140,4305710,453100,4,2
2024-03-11,4758850,4714761,43519,22227162,35119847,40,34,0,423,2453,4305731,453119,21,19
2024-03-12,4758870,4714783,43520,22227494,35121527,20,22,1,332,1680,4305736,453134,5,15
2024-03-13,4758895,4714799,43520,22227784,35122959,25,16,0,290,1432,4305751,453144,15,10
2024-03-14,4758918,4714845,43520,22228081,35124266,23,46,0,297,1307,4305763,453155,12,11
2024-03-15,4758937,4714892,43520,22228351,35125447,19,47,0,270,1181,4305777,453160,14,5
2024-03-16,4758940,4714932,43521,22228421,35125531,3,40,1,70,84,4305779,453161,2,1
2024-03-17,4758940,4714970,43521,22228468,35125620,0,38,0,47,89,4305779,453161,0,0
2024-03-18,4758968,4715011,43521,22228921,35127903,28,41,0,453,2283,4305796,453172,17,11
2024-03-19,4758986,4715030,43521,22229207,35129513,18,19,0,286,1610,4305802,453184,6,12
2024-03-20,4759004,4715042,43521,22229456,35130839,18,12,0,249,1326,4305814,453190,12,6
2024-03-21,4759019,4715080,43522,22229691,35132046,15,38,1,235,1207,4305821,453198,7,8
2024-03-22,4759031,4715110,43522,22229937,35133070,12,30,0,246,1024,4305828,453203,7,5
2024-03-23,4759033,4715146,43522,22229991,35133136,2,36,0,54,66,4305830,453203,2,0
2024-03-24,4759035,4715177,43522,22230037,35133228,2,31,0,46,92,4305832,453203,2,0
2024-03-25,4759070,4715197,43523,22230439,35135211,35,20,1,402,1983,4305850,453220,18,17
2024-03-26,4759090,4715210,43523,22230708,35136532,20,13,0,269,1321,4305861,453229,11,9
2024-03-27,4759104,4715212,43523,22230955,35137702,14,2,0,247,1170,4305867,453237,6,8
2024-03-28,4759117,4715240,43523,22231217,35138787,13,28,0,262,1085,4305875,453242,8,5
